zone_code,postcode,notes
WEST,3031,3031
WEST,3032,3032
WEST,3033,3033
WEST,3034,3034
WEST,3035,3035
WEST,3036,3036
WEST,3037,3037
WEST,3038,3038
WEST,3039,3039
WEST,3040,3040
WEST,3041,3041
WEST,3042,3042
WEST,3043,3043
WEST,3044,3044
WEST,3045,3045
WEST,3046,3046
WEST,3047,3047
WEST,3048,3048
WEST,3049,3049
WEST,3050,3050
WEST,3051,3051
WEST,3052,3052
WEST,3053,3053
WEST,3054,3054
WEST,3055,3055
WEST,3056,3056
WEST,3057,3057
WEST,3058,3058
WEST,3059,3059
WEST,3060,3060
WEST,3061,3061
WEST,3062,3062
WEST,3063,3063
WEST,3064,3064
WEST,3065,3065
WEST,3066,3066
WEST,3067,3067
WEST,3068,3068
WEST,3069,3069
WEST,3070,3070
WEST,3071,3071
WEST,3072,3072
WEST,3073,3073
WEST,3074,3074
WEST,3075,3075
WEST,3076,3076
WEST,3077,3077
LOCAL,3000,3000
LOCAL,3006,3006
LOCAL,3008,3008
